target_lab,target_weights
60.643566620419904;12.382945116496346;63.85367503395375,0.75;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
63.06688189676909;50.90189456499683;68.98466407232196,0.0;0.25;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0
59.11252724445383;56.87624645772005;62.976693676819906,0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0
55.535119802864486;59.77112394060341;54.90564333868602,0.0;0.75;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.23814854937226;33.53145629140369;73.15513236705284,0.25;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0
62.467383265165395;44.82956293383167;67.43340019975113,0.25;0.25;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0
58.474885369114546;51.6168566300324;60.49377837834014,0.25;0.5;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.12890755038966;25.83968384063484;72.37860748612705,0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0
61.99195279856359;38.47446259611165;66.19581331695336,0.5;0.25;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66.94511012682241;17.084359247365622;71.35391163473524,0.75;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
83.1313713284139;20.46503589900145;9.03360471769643,0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0
70.49870231024887;38.15231933239699;18.389056128981608,0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
60.39286733883762;52.20977878773686;28.779311341196202,0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91.58933605692346;-5.9282391305801045;40.267503482120894,0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0
76.32963648755602;19.727264129381027;42.60967852964062,0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
65.0492013799795;39.00869031408749;50.88974960794006,0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84.2189330883204;-3.6886657038223136;66.55231175720814,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
69.94719364257791;24.045402592276886;63.77150348702565,0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76.7443524809388;1.7718232661207978;75.07795310352621,0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
18.221308677250818;31.88612686026565;-50.18531909853144,0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0
24.871219337436393;22.491122653072736;-19.71128423647841,0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0
36.95574843096661;34.78302531768021;17.273325380752226,0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23.2542822898924;-8.219025806521646;-15.3425232169349,0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0
30.349959652590343;-8.007641269109106;2.0804275358087376,0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0
38.85767678179849;13.884135023766397;29.24870193038901,0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34.89500100300083;-29.237271178155833;21.020668491511852,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0
42.8738553307708;-2.7438802185900113;38.03860175152229,0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47.7836766109535;-24.817417453407987;45.66897851487003,0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
10.673734151218593;13.201349339657206;11.278203817789972,0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0
25.101149452417104;28.038524474060132;26.08830461938309,0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0
38.78541504560791;43.89042919650343;36.92282399704192,0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.84620097671846;-9.01117039649288;18.782320218417848,0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0
25.738127097007812;5.392729972157201;30.190948861045502,0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0
39.98799302096447;30.999416055607604;42.294090826203856,0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29.69689396469333;-9.584819049123366;36.47319673428681,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0
43.06155495760855;17.62634014703368;47.4286437258793,0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47.226525153140926;-3.9297409832133035;51.790439702022276,0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
22.87442918384778;3.256144973802333;-24.468903692892063,0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75
28.6701043239257;9.366350178130562;-6.0227470626575075,0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
38.479086841756136;31.15237805139018;21.758603389210695,0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28.85800821918137;-26.407099000711696;6.686403880841885,0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75
34.9578894493454;-17.168719062200495;16.632027623718283,0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
40.4209222526465;10.157558874270306;32.15005048777196,0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
54.92893027698692;55.896449419037545;53.015857808431136,0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.44014086775276;-36.83892191059718;28.602265969157102,0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
44.13852190861165;-6.635685201688723;39.75123265877583,0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
57.909728260333964;46.849916506627565;59.505940184520455,0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.49518771490604;-29.05127179336575;47.56093833585717,0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
61.86404923206804;31.344327196043466;65.23719306297153,0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46.38795468855825;-3.185383306931855;-19.378012996440198,0.0;0.0;0.25;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63.3321841037512;-29.17876768570532;30.67726710144447,0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78.32536483789184;-31.096812746729597;63.878337277941576,0.0;0.0;0.75;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.764055326781225;-1.3314154884452312;-14.798500468186049,0.25;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55.33827592266209;-25.00033569601018;30.43476084069462,0.25;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69.60046418623462;-26.593763124289794;58.45402442211702,0.25;0.0;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86.97432738230724;-8.401653242143258;84.52824204586972,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47.01152815523787;-18.762749842305247;28.507176947058845,0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60.56946596441193;-20.264764031777016;54.02051932080292,0.5;0.0;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80.59597981775288;-2.559264475533063;80.33186448246352,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.84042204417591;-13.594418209665504;51.99474953565636,0.75;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
73.98157428057225;2.6404661833641097;75.6977020928893,0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
49.818725993606265;51.046806189446734;40.58734193247342,0.0;0.0;0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0
61.08830616024795;38.56320162512122;50.95596837486652,0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
75.10006894989226;16.705122987487165;66.93007842590625,0.0;0.0;0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.20803668607308;52.40546681182573;46.5221709811298,0.25;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0
55.96788897172;42.25573525569371;52.248101862893456,0.25;0.0;0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
68.6353227789627;23.44119602960576;63.45288396793881,0.25;0.0;0.5;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
86.97432738230724;-8.401653242143258;84.52824204586972,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50.790357605472934;46.30375329018277;53.655896721561916,0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
62.79353627824263;29.517798962014176;62.04437022680648,0.5;0.0;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
80.59597981775288;-2.559264475533063;80.33186448246352,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57.478586624247995;32.29422347396177;60.96430941140479,0.75;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0
73.98157428057225;2.6404661833641097;75.6977020928893,0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
56.82170056132033;13.051179388441358;54.4723071995626,0.0;0.0;0.25;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0
68.72683277606131;4.631708672008738;64.41304914350339,0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
80.79796922046795;-4.869600889875702;75.9436628550341,0.0;0.0;0.75;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.95928791512729;18.695392529250622;51.37995952916623,0.25;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0
61.9507019738612;9.964509436601599;61.098176276504624,0.25;0.0;0.25;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
73.64113928447485;1.287546310774046;71.00041345784621,0.25;0.0;0.5;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
86.97432738230724;-8.401653242143258;84.52824204586972,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.89458796140141;16.112618041368766;57.254529852189826,0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
66.67326525541976;7.095586863540671;66.96871661539838,0.5;0.0;0.25;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
80.59597981775288;-2.559264475533063;80.33186448246352,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60.643566620419904;12.382945116496346;63.85367503395375,0.75;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0
73.98157428057225;2.6404661833641097;75.6977020928893,0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
73.14891929196875;28.161206509130622;76.844877469871,0.0;0.0;0.25;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0
79.37159260360065;14.148354067695212;80.32762564204872,0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0
85.96162239365037;0.3223420542054489;84.05438530063935,0.0;0.0;0.75;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.23814854937226;33.53145629140369;73.15513236705284,0.25;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0
73.41657667995199;19.892557244029383;76.39615535016198,0.25;0.0;0.25;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0
79.66923064107895;6.337534252054411;79.88649761011229,0.25;0.0;0.5;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
86.97432738230724;-8.401653242143258;84.52824204586972,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.12890755038966;25.83968384063484;72.37860748612705,0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0
73.60429792349386;12.009897399733182;75.94570453791295,0.5;0.0;0.25;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
80.59597981775288;-2.559264475533063;80.33186448246352,0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66.94511012682241;17.084359247365622;71.35391163473524,0.75;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
73.98157428057225;2.6404661833641097;75.6977020928893,0.75;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
97.40130917521249;-9.596366332143669;36.02779230578066,0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0
95.57892949830014;-13.751606889197687;63.68182199868655,0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
94.20729659133299;-14.489289249530357;80.6713580526524,0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91.58933605692346;-5.9282391305801045;40.267503482120894,0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0
89.99279325831344;-8.436447732209363;65.07206322341207,0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
88.33850782242884;-8.54269877815833;80.13963066463378,0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0
86.97432738230724;-8.401653242143258;84.52824204586972,0.25;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
