target_lab,target_weights
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
95.57892949830014;-13.751606889197687;63.68182199868655,0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
54.57037079977823;-40.239668742041324;26.33894831144653,0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
47.51573576637877;-21.523491933675643;44.800938456399244,0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
59.78568277248836;-49.76875426324007;37.48768618215279,0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
29.73953279288022;46.747709766412875;-29.09608102320025,0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
36.392129300683614;4.55473386123792;2.9753491262357823,0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
45.092576429541424;-5.28143206956061;28.662270190833404,0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
62.69627179901798;20.90085576868844;-51.83520868961304,0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
25.18524848110855;51.54748676970913;-76.96435292963555,0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
14.748628160328852;23.83580831796614;-37.53158008662509,0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
27.489191565344967;28.08162586143573;-57.47075830565033,0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5
32.112010421859175;55.57715769733368;-81.89570995877071,0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
42.90488439894299;42.68470527033335;44.11158807563946,0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
52.172817814275476;54.55700482417547;57.915500083406755,0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
62.85707620390839;47.54944209068979;1.024975710165088,0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
19.63152098571844;35.31819819934404;-34.704476368525484,0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
19.185736293153013;30.04039103663747;18.67403157743212,0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
22.179831646056762;22.67529218996378;-20.68514631933057,0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
55.55180224038958;30.075048927099836;59.980976403364004,0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
72.77907331796466;8.874311319220174;38.03856409867961,0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
25.5495998774661;-7.680764091340358;-1.1226468000285594,0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
21.796271972797335;2.4220496351362586;26.92372921323498,0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
29.205055614746946;-18.334466183554998;9.88400318704603,0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
81.81099720629652;11.29728165605659;64.14777784574517,0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
33.27201522216784;-20.441978816364642;22.056323739599137,0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
29.588608139291352;4.388309510751393;38.903680604984224,0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
36.67038355627773;-28.785396866308155;28.80355344634745,0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
56.51694249810291;16.876100464424837;-60.20375794489175,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
51.62324272348235;2.139282361418693;-2.326054278720502,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.0
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
64.96781863502338;-10.222935234479591;-34.661833972164516,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5
100.0;0.00526049995830391;-0.010408184525267927,0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
4.906454692263875;18.235638480632936;-33.667999991004216,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
16.495246213971413;23.324307349137264;-46.614822915313326,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5
16.24447400883688;44.35786734366931;-64.94072656183228,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
19.312936634389438;-0.41324827279839993;-24.88657164896193,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
6.89465064981426;1.4373563661184279;-18.044271874060975,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5
0.0;0.0;0.0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
