target_lab,target_weights
63.58291452179793;-28.710476818596455;45.15314943197215,0.2;0.0;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75.47643421577538;-24.648947606227935;66.77271474109756,0.2;0.0;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
88.17517532395253;-9.537601007691077;85.37905540849913,0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38.24850798720777;7.90470254470288;-4.231300263252069,0.2;0.2;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51.405218181667195;-3.8044404609337557;29.181134240160468,0.2;0.2;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
64.0982341075545;1.4393166384330525;53.301937459940504,0.2;0.2;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76.90773878048108;14.875170676298733;72.60404720325938,0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41.9822414403412;19.574802113778876;18.882841692717523,0.2;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53.510930907702914;17.414927528416058;42.71939845848982,0.2;0.4;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68.02084698019831;32.706288439476424;63.429326532701566,0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46.99829481038868;36.85596392711143;36.21813845285728,0.2;0.6;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60.68423977743407;47.28862841598686;56.10867357923834,0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.48966311460322;57.174918510749684;51.69569907182661,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44.12733833823723;-15.727936702135043;14.346135173514707,0.4;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.583960419950955;-22.841318102353235;41.28663237956206,0.4;0.0;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66.22721933978171;-20.41615997841445;59.18228989122228,0.4;0.0;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83.2687849582949;-5.401509623651379;82.12225174720264,0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.89487521141216;0.40493186330919917;29.33796863221646,0.4;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.66082099340143;2.905322270001731;49.76250337741066,0.4;0.2;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48.91590771168926;23.617796530919776;43.01352828728797,0.4;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.67647635323361;50.99450333647232;57.07290754377022,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.885856077965784;-18.813684855053083;39.28232832069541,0.6;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61.39888311383302;-15.806506699335365;57.82375504329097,0.6;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78.07828135059808;-0.6250669787259411;78.60038075362517,0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52.44893299140031;8.49598548825753;49.600331034941526,0.6;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.71242554754436;22.68473850981173;69.28450671462775,0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.29024947909363;41.64972968500879;61.76989083579241,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.63940646287402;-10.42160315106666;55.84708273540462,0.8;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40.362733626571746;54.79863856636899;33.349081115326264,0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
47.83143697273231;52.20495120405017;39.26501061554384,0.0;0.0;0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
56.168759773386725;44.887120965453384;45.93647915227296,0.0;0.0;0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
66.27404238618887;31.031184619643327;56.51288080211191,0.0;0.0;0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
78.52239399026163;11.04821601654804;71.1853391517526,0.0;0.0;0.8;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42.706338658628574;55.969501126185094;35.84730027526016,0.0;0.2;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
50.16770455133366;52.46044642267961;41.653445141870115,0.0;0.2;0.2;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
59.0266540056282;45.284788886090446;48.91270505918853,0.0;0.2;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
68.98025049955942;31.115683892835367;58.72008736255447,0.0;0.2;0.6;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
81.62310558937283;10.081100214127892;75.19988838724187,0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.04047339834915;57.10701103895932;38.30851888721315,0.0;0.4;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
52.692317044608956;53.83829475327834;43.796744720101124,0.0;0.4;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
61.38509943706873;45.45600584687298;50.76508217404506,0.0;0.4;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
72.29006234709458;29.461343838733335;63.55135442928494,0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47.56154160770995;58.56238095429944;40.45025843426138,0.0;0.6;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
55.18593726457469;54.44056875637787;45.85082391259753,0.0;0.6;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
64.43650694104466;44.460970393985335;54.31191738837807,0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.88134376079128;59.68259271424448;42.318283992352846,0.0;0.8;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44.431758649972856;52.9504621525797;44.7296871644098,0.2;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
52.248301296845085;47.182056580465094;48.38120228088532,0.2;0.0;0.2;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
61.972785206780046;34.269066027996566;56.62879326060868,0.2;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
73.89492481310327;14.835154488473224;69.6101069757389,0.2;0.0;0.6;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
88.17517532395253;-9.537601007691077;85.37905540849913,0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46.66428022908177;54.43692897508362;46.40971826191509,0.2;0.2;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
54.9575918041096;47.25370474884944;51.01298278618665,0.2;0.2;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
64.82953263888726;34.708319331593074;59.370271681120336,0.2;0.2;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
76.90773878048108;14.875170676298733;72.60404720325938,0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.168983882802664;55.16559563201079;47.86301738749133,0.2;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
57.47388698025776;47.782605528544075;53.43828657163019,0.2;0.4;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
68.02084698019831;32.706288439476424;63.429326532701566,0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51.6883256979508;56.56262070217149;49.882899752562935,0.2;0.6;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
60.68423977743407;47.28862841598686;56.10867357923834,0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.48966311460322;57.174918510749684;51.69569907182661,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48.42513585688624;49.36876204016888;51.066650348098364,0.4;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
57.65944882264746;38.46644789485437;56.329703730442546,0.4;0.0;0.2;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
67.99952629459632;22.473638225128546;65.47439226645167,0.4;0.0;0.4;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
83.2687849582949;-5.401509623651379;82.12225174720264,0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51.3010930473053;49.89354619662123;53.32272265907629,0.4;0.2;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
60.331451200958796;39.37375241086238;59.20601190819062,0.4;0.2;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
53.82096567945845;50.462265461575065;55.611284392592985,0.4;0.4;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
56.67647635323361;50.99450333647232;57.07290754377022,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53.124213228133016;41.768159581090146;56.340610837517204,0.6;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
63.49910924573258;25.468049486840616;64.27042103391584,0.6;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
78.07828135059808;-0.6250669787259411;78.60038075362517,0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.216981748261986;41.71208967001216;59.070712232678105,0.6;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
67.71242554754436;22.68473850981173;69.28450671462775,0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.29024947909363;41.64972968500879;61.76989083579241,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.00386448498199;28.55510240686493;62.586351472506365,0.8;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45.83013734686718;20.028389728642402;46.87686885739514,0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
54.837594679091396;14.577667560445317;52.87151289431813,0.0;0.0;0.2;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0
63.84344708055238;8.292618655880378;60.00635004616025,0.0;0.0;0.4;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0
73.47208977588713;0.6055735733775935;68.89606307246203,0.0;0.0;0.6;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
83.30420273275477;-6.829175534869114;78.44849535726766,0.0;0.0;0.8;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47.27125660216783;30.685829923857543;47.94295301573139,0.0;0.2;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0
55.4953836071071;26.441390930176333;52.77329407174719,0.0;0.2;0.2;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0
63.80082889461863;24.090625534371302;57.963535575336955,0.0;0.2;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
72.28650432220418;17.443982352530362;65.09415919127697,0.0;0.2;0.6;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
81.62310558937283;10.081100214127892;75.19988838724187,0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48.55846132615494;40.32543865670202;48.341460160804026,0.0;0.4;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0
56.41085875732023;37.292041397574025;52.39603266724669,0.0;0.4;0.2;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
63.75428352570826;33.86859087156757;56.456058057512415,0.0;0.4;0.4;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
72.29006234709458;29.461343838733335;63.55135442928494,0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.83240479460028;48.49463956478628;48.0968230213706,0.0;0.6;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
56.89271225190059;46.50871100691434;49.882809360530466,0.0;0.6;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
64.43650694104466;44.460970393985335;54.31191738837807,0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51.02160118655034;55.386571399489824;46.55827936134146,0.0;0.8;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49.210778702691556;18.928874653103723;50.640818250060725,0.2;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0
58.38969058786607;12.9344622936845;57.453196693606635,0.2;0.0;0.2;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0
68.43703149074109;4.935031447179106;66.5086218266234,0.2;0.0;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
78.0887668063039;-2.1525860075510828;75.4328106072664,0.2;0.0;0.6;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
88.17517532395253;-9.537601007691077;85.37905540849913,0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50.47461277329404;30.549569322260105;51.68238450829814,0.2;0.2;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0
59.20948866365528;25.581915207579186;58.1242899647141,0.2;0.2;0.2;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
67.66646798697927;22.69565405181545;63.817282297145454,0.2;0.2;0.4;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
76.90773878048108;14.875170676298733;72.60404720325938,0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51.841691491062306;40.62444603620102;51.913770562025675,0.2;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
59.55326820852902;36.19972500254598;56.59452958017416,0.2;0.4;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
68.02084698019831;32.706288439476424;63.429326532701566,0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53.02945865796201;49.6527501922705;51.760719747237346,0.2;0.6;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
60.68423977743407;47.28862841598686;56.10867357923834,0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.48966311460322;57.174918510749684;51.69569907182661,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52.803464298259314;17.277268270509182;54.74641999942331,0.4;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0
62.77094988709753;10.082718185897344;63.27017496147046,0.4;0.0;0.2;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
71.63954203347923;3.9983444016813974;70.48507569914042,0.4;0.0;0.4;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
83.2687849582949;-5.401509623651379;82.12225174720264,0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.22557159610433;29.7538144179873;56.124597180371474,0.4;0.2;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
62.54857994396562;24.935181647227523;62.10986212092096,0.4;0.2;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
55.235247983327014;41.23635305034546;56.67140712486738,0.4;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
56.67647635323361;50.99450333647232;57.07290754377022,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.97907883311083;14.968710380722062;59.64858466516609,0.6;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
66.76654142005752;7.447854736847448;68.1143704373218,0.6;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
78.07828135059808;-0.6250669787259411;78.60038075362517,0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58.16648862263642;28.430552850719103;60.76543903447769,0.6;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
67.71242554754436;22.68473850981173;69.28450671462775,0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.29024947909363;41.64972968500879;61.76989083579241,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61.73309198503412;12.048133099261005;65.13724322523817,0.8;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.64497183318726;41.34904304583387;74.38042449068686,0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
72.04740532497974;30.733527759925884;76.35589361743646,0.0;0.0;0.2;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0
76.78409841803895;19.857680241605667;78.86994582742588,0.0;0.0;0.4;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0
82.01933583569215;8.470556299480291;81.84541504019482,0.0;0.0;0.6;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
87.46151539470895;-2.704938539559165;85.03901846262356,0.0;0.0;0.8;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
93.05467216824698;-13.52443756677374;88.24413337218287,0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63.9330960492253;49.38350245580592;70.16688446919642,0.0;0.2;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0
67.94687076374422;40.155308800989;71.15788984981282,0.0;0.2;0.2;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0
71.45928664485682;32.60860102748136;71.11131239440965,0.0;0.2;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
76.17754094974379;21.930921175090155;72.05696862958007,0.0;0.2;0.6;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
81.62310558937283;10.081100214127892;75.19988838724187,0.0;0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60.72247872079022;54.85290098142076;65.53588021336714,0.0;0.4;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0
64.0997958807892;47.1469970554656;64.74760797206322,0.0;0.4;0.2;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
68.04024233501926;38.46109864507524;63.85610712711086,0.0;0.4;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
72.29006234709458;29.461343838733335;63.55135442928494,0.0;0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57.70391910312887;58.429656737608745;59.95852513518018,0.0;0.6;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
60.89693632486191;51.34513525237444;56.6447156448715,0.0;0.6;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
64.43650694104466;44.460970393985335;54.31191738837807,0.0;0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.91493288252212;59.94034959494016;53.329866491465104,0.0;0.8;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
52.370344868584624;61.09238608164025;44.41743162254441,0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67.4293068476969;35.26105789809109;73.47637449561473,0.2;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0
72.0408941731899;24.39851891343303;75.81111432308654,0.2;0.0;0.2;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0
76.84971152280761;13.002899183597261;78.27810209162044,0.2;0.0;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
82.35099557598747;2.0590849285190282;81.5476119302858,0.2;0.0;0.6;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
88.17517532395253;-9.537601007691077;85.37905540849913,0.2;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63.33245416440178;44.10181002620711;68.75735179983333,0.2;0.2;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0
67.68175107069635;34.960953162854246;70.24359413911168,0.2;0.2;0.2;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
71.55554938542231;26.775797933060286;70.20377192013642,0.2;0.2;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
76.90773878048108;14.875170676298733;72.60404720325938,0.2;0.2;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.9556068885411;50.68536973156945;63.82947004670573,0.2;0.4;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
64.09418433427949;41.206586617379415;63.57897749209099,0.2;0.4;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
68.02084698019831;32.706288439476424;63.429326532701566,0.2;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56.99975126705837;54.082283061952786;57.6762963117358,0.2;0.6;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
60.68423977743407;47.28862841598686;56.10867357923834,0.2;0.6;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.48966311460322;57.174918510749684;51.69569907182661,0.2;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66.96921366964837;29.09223989048282;72.52746747681363,0.4;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0
72.13370644426412;17.94862255917351;75.36680955089112,0.4;0.0;0.2;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
77.32457173020998;7.3738908537038235;78.27960879940501,0.4;0.0;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
83.2687849582949;-5.401509623651379;82.12225174720264,0.4;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62.960293354751144;39.00115934489967;67.94895106639454,0.4;0.2;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
67.71071380088755;29.100039322016492;69.78793174674976,0.4;0.2;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
59.585566577598485;46.24907217555469;62.766187542633354,0.4;0.4;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
56.67647635323361;50.99450333647232;57.07290754377022,0.4;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66.96532006927607;22.668616031709387;71.8302261086327,0.6;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0
72.32647808730731;11.424293304560408;74.90910091520833,0.6;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
78.07828135059808;-0.6250669787259411;78.60038075362517,0.6;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62.88583545733361;33.23362405486152;67.17916549842235,0.6;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
67.71242554754436;22.68473850981173;69.28450671462775,0.6;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59.29024947909363;41.64972968500879;61.76989083579241,0.6;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66.95225245582967;15.676348269075046;71.24729793255379,0.8;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0
67.0607520782194;8.583268068731996;70.79009233501033,1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
